Meu pedido ainda não chegou,Pedido_Atrasado
Comprei um produto e ele ainda não chegou,Pedido_Atrasado
Apenas um dois itens que comprei chegou,Pedido_Atrasado
Preciso de ajuda com um pedido,Pedido_Atrasado
O prazo de entrega do meu pedido já passou e ele ainda não recebi,Pedido_Atrasado
Alguns itens do meu pedido não chegaram,Pedido_Atrasado
preciso de ajuda com meu pedido,Pedido_Atrasado
Fiz uma compra e ainda não recebi,Pedido_Atrasado
E ae?,Saudacao
Bom dia,Saudacao
Boa noite,Saudacao
Boa tarde,Saudacao
Olá,Saudacao
Oi,Saudacao
